IDnum	session	EDFmatchExists	comment	nrows	pTrialsLotsTimingBlips	pTrialsBlipsAfterFixatn	pTrialsBlipsAfterCue	pTrialsLotsAfterCue	IDvalid	EDF_suffix	file_size	noSessionID	sessionNum	EDFreadError
32	1	TRUE	skipped practice trial, because practice.py was not able to open at this time. Did visual acuity and intelligence firsts before doing any trials.	120	0.25833333333333336	NA	NA	NA	TRUE	EDF	11376719	FALSE	1	FALSE
32	2	TRUE	skipped practice trial, because practice.py was not able to open at this time. Did visual acuity and intelligence firsts before doing any trials.	120	0.15833333333333333	NA	NA	NA	TRUE	EDF	11302425	FALSE	2	FALSE
32	3	TRUE	skipped practice trial, because practice.py was not able to open at this time. Did visual acuity and intelligence firsts before doing any trials.	120	0.16666666666666666	NA	NA	NA	TRUE	EDF	11407360	FALSE	3	TRUE
33	1	FALSE	None	120	0.15833333333333333	NA	NA	NA	TRUE	NA	NA	NA	1	FALSE
33	2	TRUE	None	120	0.20833333333333334	NA	NA	NA	TRUE	EDF	11283971	TRUE	2	FALSE
33	3	FALSE	None	120	0.19166666666666668	NA	NA	NA	TRUE	NA	NA	NA	3	FALSE
34	2	TRUE	None	120	0	NA	NA	NA	TRUE	EDF	11684352	FALSE	2	FALSE
34	3	TRUE	None	120	0	NA	NA	NA	TRUE	EDF	11532139	FALSE	3	FALSE
35	1	TRUE	None	120	0.19166666666666668	NA	NA	NA	TRUE	EDF	11237852	FALSE	1	FALSE
35	2	TRUE	None	120	0.125	NA	NA	NA	TRUE	EDF	11086052	FALSE	2	FALSE
35	3	TRUE	None	120	0.15	NA	NA	NA	TRUE	EDF	11343432	FALSE	3	FALSE
36	1	TRUE	None	120	0.15833333333333333	NA	NA	NA	TRUE	EDF	11200379	FALSE	1	FALSE
36	2	TRUE	None	120	0.09166666666666666	NA	NA	NA	TRUE	EDF	11151128	FALSE	2	FALSE
36	3	TRUE	None	120	0.05	NA	NA	NA	TRUE	EDF	11422005	FALSE	3	FALSE
37	1	TRUE	None	120	0.125	NA	NA	NA	TRUE	EDF	11400941	FALSE	1	FALSE
37	2	TRUE	None	120	0.14166666666666666	NA	NA	NA	TRUE	EDF	11533976	FALSE	2	FALSE
37	3	TRUE	None	120	0.125	NA	NA	NA	TRUE	EDF	11144745	FALSE	3	FALSE
38	1	TRUE	None	120	0.05	NA	NA	NA	TRUE	EDF	11023080	FALSE	1	FALSE
38	2	TRUE	None	120	0.025	NA	NA	NA	TRUE	EDF	11081097	FALSE	2	FALSE
38	3	TRUE	None	120	0.016666666666666666	NA	NA	NA	TRUE	EDF	11265350	FALSE	3	FALSE
39	1	TRUE	None	120	0.1	NA	NA	NA	TRUE	EDF	11315981	FALSE	1	FALSE
39	2	TRUE	None	120	0	NA	NA	NA	TRUE	EDF	11293319	FALSE	2	FALSE
39	3	TRUE	None	120	0.125	NA	NA	NA	TRUE	EDF	11161600	FALSE	3	TRUE
40	1	TRUE	None	120	0.09166666666666666	NA	NA	NA	TRUE	EDF	11028437	FALSE	1	FALSE
40	2	TRUE	None	120	0.05	NA	NA	NA	TRUE	EDF	11216720	FALSE	2	FALSE
